[INFO] [SIM_PD_FOLLOWER] [2018-03-14 02:14:34,890] --> ####################################################################################################
[INFO] [SIM_PD_FOLLOWER] [2018-03-14 02:14:35,161] --> Rospy node created
[INFO] [SIM_PD_FOLLOWER] [2018-03-14 02:14:37,705] --> Simulation: 4, Control Period: 5.0 ms, Maximum tilt: 5.73 deg
[INFO] [SIM_PD_FOLLOWER] [2018-03-14 02:14:37,706] --> Gains: (6, 4, 8, 10, 7, 2), Trajectory: (0.5, 2.0, 0.5, 2.0, 0.2, 30.0, 1.0, 0.0)
[INFO] [SIM_PD_FOLLOWER] [2018-03-14 02:14:37,706] --> Center (0.0, 0.0, 0.8)
[INFO] [SIM_PD_FOLLOWER] [2018-03-14 02:14:37,731] --> Taking Off
[WARNING] [SIM_PD_FOLLOWER] [2018-03-14 02:14:38,944] --> Control law function taking more time than control period: 5.47480583191 ms
[WARNING] [SIM_PD_FOLLOWER] [2018-03-14 02:14:38,990] --> Control law function taking more time than control period: 5.9859752655 ms
[WARNING] [SIM_PD_FOLLOWER] [2018-03-14 02:14:39,302] --> Control law function taking more time than control period: 11.1489295959 ms
[WARNING] [SIM_PD_FOLLOWER] [2018-03-14 02:14:39,322] --> Control law function taking more time than control period: 11.4209651947 ms
[WARNING] [SIM_PD_FOLLOWER] [2018-03-14 02:14:39,363] --> Control law function taking more time than control period: 5.39994239807 ms
[WARNING] [SIM_PD_FOLLOWER] [2018-03-14 02:14:39,510] --> Control law function taking more time than control period: 11.3661289215 ms
[WARNING] [SIM_PD_FOLLOWER] [2018-03-14 02:14:40,091] --> Control law function taking more time than control period: 10.1828575134 ms
[WARNING] [SIM_PD_FOLLOWER] [2018-03-14 02:14:40,113] --> Control law function taking more time than control period: 6.40797615051 ms
[WARNING] [SIM_PD_FOLLOWER] [2018-03-14 02:14:41,432] --> Control law function taking more time than control period: 5.04994392395 ms
[WARNING] [SIM_PD_FOLLOWER] [2018-03-14 02:14:42,121] --> Control law function taking more time than control period: 7.84993171692 ms
[WARNING] [SIM_PD_FOLLOWER] [2018-03-14 02:14:42,294] --> Control law function taking more time than control period: 6.43396377563 ms
[WARNING] [SIM_PD_FOLLOWER] [2018-03-14 02:14:42,380] --> Control law function taking more time than control period: 5.67984580994 ms
[WARNING] [SIM_PD_FOLLOWER] [2018-03-14 02:14:42,413] --> Control law function taking more time than control period: 13.4100914001 ms
[WARNING] [SIM_PD_FOLLOWER] [2018-03-14 02:14:42,450] --> Control law function taking more time than control period: 11.2228393555 ms
[WARNING] [SIM_PD_FOLLOWER] [2018-03-14 02:14:42,468] --> Control law function taking more time than control period: 5.4669380188 ms
[WARNING] [SIM_PD_FOLLOWER] [2018-03-14 02:14:42,533] --> Control law function taking more time than control period: 22.7611064911 ms
[WARNING] [SIM_PD_FOLLOWER] [2018-03-14 02:14:42,589] --> Control law function taking more time than control period: 26.1499881744 ms
[WARNING] [SIM_PD_FOLLOWER] [2018-03-14 02:14:42,609] --> Control law function taking more time than control period: 18.5260772705 ms
